
"Lays Limon",29,40,24.11,Customers
"Del Valle Jugos Uva",12,30,17.3,Customers
"Country Club Refresco Uva 20oz",56,35,24.72,Customers
"Del Valle Jugo Manzana 16oz",22,30,17.3,Stock
"Crackets MiniSandwich",52.000000000096,25,16.5,Stock
"Quaker Galletas De Avena Chocolate 38g",34,20,14.02,Customers
"Hojuelitas Picantes",40,15,7.18,Customers
"Lays Queso Blanco",73,40,24.11,Customers
"Nescafe Cafe Tradicion 500 g",3,1,1183.05,Stock
"Coca Cola 20 oz",276,35,24.67,Customers
"Pastelitos Pollo",4,30,20,Customers
"Pica Expres Yaniquequitos Crackers",85,15,10.67,Customers
"Plato Rigido #6",4,0,44,Stock
Chicharron,59,40,24.11,Stock
"Hershey's Cookies & Creme",107.999999999136,45,32.22,Stock
Fruitylicious!,54,60,35,Customers
"Halls Menthol",10,15,10.94,Customers
"Wraps de Pollo",2,110,60,Customers
"Country Club Refresco Merengue 20oz",16,35,24.72,Customers
"Trident Splash Sabor a menta",2,30,0,Customers
varios,2,1,919.9,Stock
"Kikaboni Moringa Pita Chips 1.25oz",37,55,41.3,Customers
"Crackets Galletas 43g",120,10,7.18,Stock
"Dasani Agua Saborizada Manzana 20oz",22,30,17.44,Customers
"Infinity Chiclets (Frutas Rojas)",4,30,22.04,Customers
"Agua Dasani Saborizada 20oz",15,30,17.44,Stock
"Trident Durazno Mango",12.000000000048,25,18.88,Stock
